flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,linkedEvents,link,P10OnsetMax,Farside,FarsideManuallyAddedByUs
2014-02-20T07:56:00-FLR-001,[{'displayName': 'GOES14: SEM/XRS 1.0-8.0'}],2014-02-20T07:56Z,2014-02-20T09:25Z,2014-02-20T11:25Z,SPE,S15W73,11976,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/595/-1,22,FALSE,FALSE
2014-02-25T00:49:00-FLR-001,[{'displayName': 'GOES14: SEM/XRS 1.0-8.0'}],2014-02-25T00:49Z,2014-02-28T00:49Z,2014-03-03T01:50Z,SPE,S12E83,11990,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/595/-1,24,FALSE,FALSE
2014-03-29T17:48:00-FLR-001,,2014-03-29T17:48Z,2014-03-29T22:30Z,2014-03-30T16:00Z,SUB,N11W32,12017,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17262/-1,3.22,FALSE,FALSE
2014-04-18T13:03:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2014-04-18T13:03Z,2014-04-19T01:05Z,2014-04-20T11:55Z,SPE,S20W34,12036,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17262/-1,58,FALSE,FALSE
2014-09-10T17:45:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2014-09-10T17:45Z,2014-09-12T15:55Z,2014-09-12T23:10Z,ESPE,N14E02,12158,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17262/-1,29,FALSE,FALSE
,,2014-09-22T06:14Z,2014-09-22T13:00Z,2014-09-23T10:00Z,SUB,N16W150,12158,,,2.05,TRUE,FALSE
,,2014-12-13T14:24Z,2014-12-14T10:20Z,2014-12-15T12:00Z,SUB,S19W154,12222,,,2.5,TRUE,FALSE
,,2015-03-15T02:13Z,2015-03-15T09:40Z,2015-03-17T13:30Z,SUB,S22W25,12997,,,3.24,FALSE,FALSE
2015-06-18T01:27:00-FLR-001,[{'displayName': 'GOES14: SEM/XRS 1.0-8.0'}],2015-06-18T01:27Z,2015-06-18T14:45Z,2015-06-19T02:30Z,SPE,S13W89,12365,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/595/-1,17,FALSE,FALSE
2015-06-21T01:42:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2015-06-21T01:42Z,2015-06-22T19:00Z,2015-06-24T07:05Z,SPE,N12E13,12371,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17262/-1,278,FALSE,FALSE
